project name,package name,repo name,author,latest version,mode,branch
tools,mise,mise,jdx,v2026.6.10,release,main
tools,usage,usage,jdx,v3.5.0,release,main
tools,zellij,zellij,zellij-org,v0.44.3,release,main
tools,wezterm,wezterm,wezterm,8afe0ad,commit,main
network,sing-box,sing-box,SagerNet,v1.13.13,release,main
network,sing-geoip,sing-geoip,SagerNet,20260512,release,main
network,sing-geosite,sing-geosite,SagerNet,20260606150543,release,main
zsh-users,zsh-completions,zsh-completions,zsh-users,dd83145,commit,master
lost,neofetch,neofetch,dylanaraps,ccd5d9f,commit,master
tools,neohtop,neohtop,Abdenasser,v1.2.0,release,main
tools,auto-cpufreq,auto-cpufreq,AdnanHodzic,v3.0.0,release,master
tools,yazi,yazi,sxyazi,v26.5.6,release,main
tools,ghostty,ghostty,ghostty-org,v1.3.1,tag,main
tools,scrcpy,scrcpy,Genymobile,v4.0,release,master
lost,eza,eza,eza-community,v0.23.4,release,main
tools,resvg,resvg,linebender,v0.47.0,release,main
lost,rust-starship,starship,starship,v1.25.1,release,master
wm,xdg-desktop-portal-hyprland,xdg-desktop-portal-hyprland,hyprwm,v1.3.12,release,master
wm,hyprwayland-scanner,hyprwayland-scanner,hyprwm,v0.4.6,release,main
wm,hyprlang,hyprlang,hyprwm,v0.6.8,release,main
wm,hyprutils,hyprutils,hyprwm,v0.13.1,release,main
wm,hyprland-protocols,hyprland-protocols,hyprwm,v0.7.0,release,main
